Статус оповещения;Перегон;Продолжительность;Признак вины сторонней организации;Признак вины сервисной организации;Предприятие сторон. организаций;Предприятие сервис. организаций;Серия отказавшего локомотива;Бортовой номер отказавшего локомотива;Категория отказа;ОТС 1 уровня;ОТС 3 уровня;ID отказа;Начало отказа;Группа причин;ОТС 2 уровня;Вид следования отказавшего локомотива;теп / эле;месяц;дат;ден
расследован;БАБАЕВО;120;нет;есть;;;ВЛ10У;68;1 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Рукоятка клапана песочницы;11615718;08.01.2021 19:00;Неисправность рукоятки клапана песочницы;Клапан песочницы;грузовое;электровозы;1;08.01.2021;8
расследован;ВЕЛИКИЕ ЛУКИ;60;нет;нет;;;2ТЭ116У;140;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы циркуляции воды;11615728;08.01.2021 19:23;Неисправность трубопровода системы циркуляции воды;Система циркуляции воды;грузовое;тепловозы;1;08.01.2021;8
расследован;БАБАЕВО;14;нет;есть;;;3ЭС4К;17;3 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Рукоятка клапана песочницы;11615835;09.01.2021 01:00;Неисправность рукоятки клапана песочницы;Клапан песочницы;грузовое;электровозы;1;09.01.2021;9
расследован;ТЕШЕМЛЯ-БАБАЕВО;146;нет;есть;;;ВЛ10У;756;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Силовые контакты электропневматического контактора силовой цепи;11615836;09.01.2021 00:49;Неисправность силовых контакторов электропневматического контактора силовой цепи;Контактор электропневматический силовой цепи;грузовое;электровозы;1;09.01.2021;9
расследован;ВОЙСКОВИЦЫ-ЕЛИЗАВЕТИНО;40;есть;нет;без клейма;;3ЭС4К;50;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Главные контакты быстродействующего выключателя;11616048;09.01.2021 06:51;Неисправность главных контактов быстродействующего выключателя;Быстродействующий выключатель;грузовое;электровозы;1;09.01.2021;9
расследован;СОНКОВО;40;нет;есть;;;ДМ62;1738;1 категория;Вспомогательные электрические машины локомотива  МВПС;Якорь двухмашинного агрегата;11616095;09.01.2021 07:15;Неисправность якоря двухмашинного агрегата;Двухмашинный агрегат;пассажирское;тепловозы;1;09.01.2021;9
расследован;ЛАПИНО-НОВОСЕЛЬЕ;47;есть;нет;без клейма;;2ТЭ25КМ;446;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11616200;09.01.2021 07:19;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;тепловозы;1;09.01.2021;9
расследован;СВИРЬ;14;нет;нет;;;3ЭС4К;64;3 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Электронный блок микропроцессорной системы управления и диагностики (МСУД);11616242;09.01.2021 08:00;Неисправность МСУД;Микропроцессорная система управления и диагностики (МСУД);грузовое;электровозы;1;09.01.2021;9
расследован;ШОССЕЙНАЯ-АЛЕКСАНДРОВСКАЯ;3;нет;нет;;;М62;;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Аккумуляторная батарея;11616244;09.01.2021 10:12;Неисправность аккумуляторной батареи;Аккумулятор;передаточно-вывозное;тепловозы;1;09.01.2021;9
расследован;СВИРЬ;14;нет;есть;;;2ЭС4К;103;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11616408;09.01.2021 08:00;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;электровозы;1;09.01.2021;9
расследован;МЫСЛИНО-ВАЛЯ;14;нет;есть;;;ВЛ10У;664;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11616466;09.01.2021 12:48;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;электровозы;1;09.01.2021;9
расследован;ЛИХОСЛАВЛЬ-ДОРОШИХА;3;нет;есть;;;ЧС200;4;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели силовых цепей;11616623;09.01.2021 14:58;Неисправность проводов  кабелей силовых цепей;Провода  кабели силовых цепей;пассажирское;электровозы;1;09.01.2021;9
расследован;ВЯЗЬЕ-ДЕДОВИЧИ;12;нет;нет;;;2ТЭ116;1103;3 категория;Приборы безопасности и радиосвязь локомотива  МВПС;Дешифратор ДКСВ автоматической локомотивной сигнализации;11616870;09.01.2021 20:47;Неисправность дешифратора ДКСВ автоматической локомотивной сигнализации;Автоматическая локомотивная сигнализация;грузовое;тепловозы;1;09.01.2021;9
расследован;БАБАЕВО;11;есть;нет;без клейма;;3ЭС4К;76;3 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Электронный блок микропроцессорной системы управления и диагностики (МСУД);11617010;10.01.2021 03:30;Неисправность МСУД;Микропроцессорная система управления и диагностики (МСУД);грузовое;электровозы;1;10.01.2021;10
расследован;РЗД 24 КМ-КИМАСОЗЕРО;50;нет;нет;;;2ТЭ116У;39;1 категория;Системы автоматического управления режимами тяги и торможения  электронное оборудование локомотива;Микропроцессорная система управления тепловоза (МСУ-ТП);11617090;10.01.2021 04:25;Неисправность блока МСУ-ТП;Микропроцессорная система управления тепловоза (МСУ-ТП);грузовое;тепловозы;1;10.01.2021;10
расследован;КИНГИСЕПП;14;нет;есть;;;2ТЭ116У;143;3 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы подачи топлива;11617103;10.01.2021 01:57;Неисправность трубопроводов системы подачи топлива;Система подачи топлива;грузовое;тепловозы;1;10.01.2021;10
расследован;ВОЛХОВСТР I;281;нет;есть;;;ВЛ10У;947;2 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Корпус главного резервуара;11617153;10.01.2021 03:07;Неисправность корпуса главного резервуара;Главный резервуар;грузовое;электровозы;1;10.01.2021;10
